ID,Style_Keyword,English_Prompt
54,School,Frill-decorated crop blouse with high-waisted school shorts. Two neat French braids with small bows
55,Sporty,Oversized tee with ripped jeans for a skater girl look. Messy low ponytail with a snapback cap
56,Sexy,Thigh-high lace-up boots with an oversized white shirt. Voluminous loose curls tumbling over one shoulder
57,Spring,Denim jacket with a coral-toned skirt and a straw hat. Loose fishtail braid draped to one side
58,Casual,Cropped sweatshirt with wide-leg cotton pants. Effortless air-dried waves with a middle part
59,School,Olive green knit vest with an oxford shirt. Sleek low bun with thin-framed glasses
60,Sporty,Cycling shorts with an oversized crewneck sweatshirt. High swinging ponytail with a matching scrunchie
61,Sexy,Deep side-slit long dress with bold gold jewelry. Long silky straight hair with a dramatic deep side part
62,Spring,Pearl-buttoned cardigan with slim-fit slacks. Loose low ponytail with pearl-studded bobby pins
63,Casual,Varsity jacket with a short pleated skirt. Tousled layered shag cut with wispy bangs
64,School,Small floral print jumpsuit with clean sneakers. Simple half-up with a butterfly clip
65,Sporty,Padded vest with sweatpants and a knit beanie. Hair tucked into a beanie with bangs peeking out
66,Sexy,Black leather bustier with a thick choker necklace. High sleek ponytail pulled tight with baby hairs styled
67,Spring,Sheer ribbon-decorated blouse with a flowy midi skirt. Soft romantic updo with face-framing tendrils
68,Casual,Tone-on-tone beige look with an eco-friendly tote bag. Natural straight hair with a tortoiseshell claw clip
69,School,Peach-toned dress with lace socks and Mary Jane shoes. Two low braids with peach satin ribbons
70,Sporty,Reflective techwear-style outfit with multiple straps. Tight space buns with sleek center part
71,Sexy,Python print mini dress with stiletto heels. Blown-out bouncy layers with dramatic volume
72,Spring,Heart-patterned knit with a light denim skirt. Soft S-wave curls with a heart-shaped barrette
73,Casual,Leather mini skirt with a chunky white oversized sweater. Loose effortless beach waves past shoulders
74,School,Yellow plaid setup inspired by 90s teen movies. Flipped-out medium bob with a wide headband
75,Sporty,Vintage bowling shirt with slim cotton pants. Low ponytail with a retro-style bandana wrap
76,Sexy,Unique vinyl-mixed top with hot pants. Pin-straight waist-length hair with a chrome hair cuff
77,Casual,Low-rise pants with visible logo-print underwear waistband. Messy layered wolf cut with wispy bangs
78,School,Backpack styled with a loose hoodie and school trousers. Casual half ponytail with a simple elastic
79,Sporty,Sporty mini dress with striped knee-high socks. Pigtail buns with baby hairs slicked down
80,Sexy,Silk robe-style dress with a wide corset belt. Long flowing waves with a jeweled hair vine
81,Casual,Sunglasses with a black tank top and camouflage pants. Straight hair pulled back with sunglasses on top
82,School,Leather loafers with white socks and a flared school skirt. Neat center-parted bob with tucked-behind-ear styling
83,Sporty,Crop gym tank top with elastic banding shorts. Tight top knot bun for a workout-ready look
84,Sexy,Power shoulder blazer with a mini bodycon skirt. Sleek blowout with flipped ends and bold red lip accent
85,Casual,Quilted jacket with straight-leg denim and ankle boots. Loose waves with a chunky knit headband
86,School,Striped necktie with a beret and school-style shorts. Straight hair under a beret with bangs showing
87,Sporty,Soccer jersey style tee with a metallic mini skirt. Braided low bun at the nape of the neck
88,Sexy,Micro denim shorts with fishnet stockings and a leather jacket. Tousled rocker-chic waves with side-swept bangs
89,Casual,Layered necklaces with a short-sleeve crop shirt. Textured collarbone-length lob with curtain bangs
90,School,Canvas shoes with a sporty school PE-style uniform. Simple high ponytail with a clean white hair tie
91,Sporty,Yoga set layered with an oversized plaid shirt. Sleek low bun with a yoga-style headband
92,Sexy,Velvet top with thin jewelry straps on the neckline. Long soft curls with a velvet scrunchie half-up style
93,Casual,Denim mini skirt with a vintage band tee. Effortless shag haircut with face-framing pieces
94,School,Letterman cardigan with a short pleated skirt. Low double braids tied with school-color ribbons
95,Sporty,Neoprene material dress with high-tech sneakers. Futuristic slick-back ponytail with gel finish
96,Sexy,Glittery tube top with a sheer lace duster. Long straight platinum hair with glitter spray highlights
97,Casual,High-waisted paper bag shorts with a tucked-in tank top. Messy low bun with a bandana headwrap
98,School,Bold headband with a preppy-style button-down shirt. Straight shoulder-length hair with a thick padded headband
99,Sexy,Satin mini dress with a diamond-encrusted waist belt. Old Hollywood finger waves on one side with long straight ends
100,School,Double-buttoned blazer with gold buttons and a mini skirt. Polished low chignon with gold hairpin accents
101,Summer,Crochet halter crop top with high-waisted linen shorts and espadrille sandals. Beachy salt-spray waves with a natural sun-kissed part
102,Summer,Tie-dye maxi sundress with braided leather sandals. Long loose mermaid waves with a shell hair clip
103,Summer,White eyelet crop top with a flowing tropical-print wrap skirt. Messy fishtail braid draped over one shoulder
104,Summer,Neon orange bikini top layered under an open mesh cover-up with denim cutoffs. Wet-look slicked-back low ponytail
105,Summer,Linen button-down shirt worn open over a bandeau top with wide-leg palazzo pants. Effortless air-dried waves with a straw sun hat
106,Summer,Off-shoulder ruffle crop top with high-waisted paperbag shorts in bright coral. Bouncy high ponytail with a coral scrunchie
107,Summer,Tropical floral romper with platform espadrilles. Half-up space buns with the rest flowing down in loose waves
108,Summer,Ribbed tank bodysuit with a sarong-style midi skirt in sunset orange. Low braided bun with a tropical flower tucked behind the ear
109,Summer,Cropped terry cloth polo with matching shorts in sky blue. Cute double French braids with baby blue ribbons
110,Summer,Oversized linen boyfriend shirt as a beach dress with round straw bag. Tousled natural texture with a woven raffia headband
111,Summer,Structured bandeau top with wide-leg palazzo pants in seafoam green. Sleek middle-parted bun with gold hoop earrings
112,Summer,Crochet mini dress in white over a matching bikini set. Long bohemian waves with tiny braids woven through
113,Summer,Fruit-print halter top with denim micro shorts and platform slides. Two playful mini buns on top with loose hair underneath
114,Summer,Pastel rainbow tie-front crop top with white linen shorts. Colorful bubble braids with matching pastel elastics
115,Summer,Strapless smocked jumpsuit in lime green with gold anklet bracelets. Sleek low ponytail wrapped with a lime-colored silk scarf
116,Summer,Breezy cotton off-shoulder midi dress in sky blue with tassel earrings. Soft romantic side-swept waves with a seashell barrette
117,Summer,High-cut one-piece swimsuit in hot pink with a sheer sarong wrap. Slicked-back wet hair with a pink hibiscus flower
118,Summer,Cropped linen blazer over a bralette with matching bermuda shorts. Textured layered bob with a sun-bleached balayage look
119,Summer,Denim bustier top with a tiered ruffle maxi skirt in white. Loose boho waves with a thin braided crown accent
120,Summer,Halter neck knit top in bright yellow with a pleated chiffon midi skirt. High messy bun with wisps framing the face and yellow daisy pins
121,Summer,Mesh see-through tee over a neon sports bra with distressed denim shorts. Sporty slicked ponytail with neon hair streaks
122,Summer,Flowy gauze maxi dress in lavender with gladiator sandals. Long straight hair with lavender ombre tips flowing freely
123,Summer,Cutout-detail bodysuit in peach with high-waisted cargo shorts. Twisted half-updo with peach ribbon woven through
124,Summer,Ruched side-tie mini dress in mango orange with clear heeled mules. Big voluminous blowout curls with a glossy sheen
125,Summer,Striped sailor-style cropped tee with white linen wide-leg pants and boat shoes. Low nautical-knot bun with a navy striped bandana
126,Summer,Embroidered cotton crop top with a flowing batik-print maxi skirt. Loose side braid with wooden bead accents
127,Summer,Sheer organza puff-sleeve blouse with a matching mini skirt in aqua blue. Soft waterfall curls cascading past the shoulders
128,Summer,Coconut-button linen vest worn alone with matching drawstring shorts. Tousled pixie-length textured cut with beachy highlights
129,Summer,Tie-front gingham crop top with a denim A-line mini skirt. Two low pigtails with gingham ribbon ties
130,Summer,Sequined halter top in holographic silver with white wide-leg pants. Sleek center-parted straight hair with holographic glitter at the part
131,Summer,Crinkle cotton off-shoulder blouse with embroidered shorts. Romantic loose waves with a fresh gardenia behind the ear
132,Summer,Retro high-waisted bikini in cherry red with a cropped Hawaiian shirt. Vintage pin-up victory rolls with a red bandana headwrap
133,Summer,Bamboo-print slip dress with flat gladiator sandals and gold bangles. Long straight jet-black hair with a bamboo chopstick bun accent
134,Summer,Puff-sleeve smocked crop top in sunflower yellow with a chambray midi skirt. Braided halo crown with tiny sunflower accents woven in
135,Summer,Asymmetric draped one-shoulder top in white with coral pleated pants. Elegant side-parted chignon with a coral jeweled pin
136,Summer,Scalloped-edge bikini top in pastel pink with a matching tulle beach coverup skirt. Loose princess curls with pink pearl hair vine
137,Summer,Cropped denim vest with fringe detail over a white maxi dress. Layered bohemian waves with a turquoise feather hair clip
138,Summer,Neon green mesh bodysuit under an oversized white tee with biker shorts. Twin sleek low buns with neon green hair ties
139,Summer,Floral embroidered sheer kimono over a basic white tank and shorts. Long straight silky hair flowing under the kimono with a thin braided headband
140,Summer,Metallic gold wrap top with high-waisted white linen palazzo pants and gold cuff bracelet. Glamorous deep side-parted old Hollywood waves with gold leaf hair clips
141,Summer,Rattan belt cinched over a flowy white linen shirt dress with brown leather sandals. Effortless messy low bun with rattan hair stick accessories
142,Summer,Bold tropical toucan print co-ord set with matching crop top and wide shorts. Fun high pigtails with tropical print silk scarves tied as bows
143,Summer,Bandana print tube top with light wash ripped jeans and colorful beaded necklaces. Beachy tousled waves with a folded bandana as a headband
144,Summer,Spaghetti strap midi dress in watermelon pink with white platform sneakers. Bouncy layered blowout with watermelon-colored barrette
145,Summer,Open-knit cropped sweater in cream over a pastel bikini with linen shorts. Natural beachy texture with a cream crochet scrunchie half-up
146,Summer,Structured white linen crop top with papaya orange high-waisted trousers and wedge heels. Polished low twisted ponytail with a silk papaya-tone scarf wrap
147,Summer,Embroidered Mexican-inspired off-shoulder blouse with white wide-leg pants and huarache sandals. Long flowing straight hair with a fresh red rose tucked behind the ear
148,Summer,Pastel ombre maxi kaftan over a simple bikini with beaded sandals. Free-flowing waist-length wavy hair with subtle pastel ombre tips
149,Summer,Athletic mesh panel crop top with a flowy chiffon midi skirt in ocean blue. High sleek ponytail with blue ribbon streamers
150,Summer,Vintage-style high-waisted bikini in polka dots with a tied crop blouse. Retro short curly bob with a polka dot headscarf
151,Winter,Oversized cream cable-knit sweater with black leather leggings and knee-high suede boots. Soft glamorous blowout curls with a cream knit beret
152,Winter,Long camel wool coat over a turtleneck bodysuit with tailored wide-leg trousers. Sleek straight hair with a deep side part and camel felt hat
153,Winter,Chunky cropped puffer jacket in dusty rose with high-waisted joggers and fur-lined boots. Messy high bun with a dusty rose knit headband
154,Winter,Plaid oversized blazer with a black bodysuit and pleated midi skirt with tights. Low chignon with gold vintage hairpins
155,Winter,Turtleneck knit dress in burgundy with a wide leather belt and over-the-knee boots. Long straight hair with a burgundy velvet ribbon half-up style
156,Winter,Faux fur cropped jacket in ivory with a satin slip dress and ankle boots. Soft Hollywood waves with a faux fur headband
157,Winter,Oversized hoodie dress in charcoal with thigh-high boots and a chain belt. Sleek low ponytail with a leather hair wrap
158,Winter,Mohair cardigan in soft lavender over a fitted turtleneck with corduroy pants. Loose waves tucked behind ears with a lavender beret
159,Winter,Double-breasted wool peacoat in navy with a striped Breton shirt and skinny jeans. Classic French girl bob with subtle waves and a navy beret
160,Winter,Puffer vest in metallic silver over a black turtleneck with wide-leg wool trousers. Slicked-back bun with metallic silver hair clips
161,Winter,Velvet blazer in emerald green with a lace camisole and tailored black pants. Long sleek straight hair with an emerald jeweled hair comb
162,Winter,Cashmere turtleneck in caramel with a houndstooth mini skirt and suede boots. Soft bouncy curls with a thin caramel-toned headband
163,Winter,Oversized plaid scarf worn as a shawl with a fitted black top and leather pants. Messy side braid with plaid ribbon woven through
164,Winter,Faux leather trench coat in dark brown with a knit crop top and wide-leg pants. Center-parted curtain bangs with long straight hair
165,Winter,Chunky knit oversized scarf with a fitted wool dress in charcoal and combat boots. Textured messy waves with a chunky knit beanie
166,Winter,Quilted long jacket in olive green with a cream hoodie and fleece-lined joggers. Cozy low twin braids peeking out from under a fleece bucket hat
167,Winter,Faux fur long vest in cream over a black turtleneck and skinny jeans with ankle boots. Long flowing waves with a cream faux fur earmuff headband
168,Winter,Corduroy overall dress in rust orange with a cream puff-sleeve blouse and tights. Two low braids tied with rust-colored velvet ribbons
169,Winter,Ribbed knit co-ord set in forest green with a long belted cardigan. Polished low bun with a forest green velvet scrunchie
170,Winter,Cashmere V-neck sweater in pale blue with a pleated midi skirt and suede heels. Soft loose curls pinned on one side with a crystal snowflake clip
171,Winter,Long wool wrap coat in classic black with a red cashmere scarf and leather gloves. Sleek straight jet-black hair with a bold red lip accent
172,Winter,Teddy bear fleece jacket in beige with a mini skirt and knit thigh-high leg warmers. Cute messy high bun with wispy bangs and a teddy bear hair clip
173,Winter,Tweed mini dress in pink and white with a pearl necklace and block-heel boots. Elegant low chignon with pearl-studded pins
174,Winter,Oversized cable-knit cardigan in oatmeal with a silk slip skirt and Chelsea boots. Natural air-dried waves with an oatmeal-toned claw clip updo
175,Winter,Leather moto jacket with a fitted sweater dress in black and combat boots. Edgy tousled waves with a black leather hair tie
176,Winter,Wool beret with a striped turtleneck and high-waisted tailored pants. French girl layered bob with a matching wool beret
177,Winter,Faux suede fringe jacket in tan with a white bodysuit and flared jeans. Long straight hair with bohemian tan suede hair wrap
178,Winter,Velvet midi dress in deep plum with a fitted cropped cardigan and satin heels. Romantic updo with loose tendrils and a plum velvet bow
179,Winter,Patterned Fair Isle sweater with a corduroy A-line skirt and knee-high socks. Two braided pigtails with Fair Isle patterned ribbon bows
180,Winter,Structured wool cape in houndstooth with a fitted black top and skinny pants. Polished sleek ponytail with a houndstooth print scrunchie
181,Winter,Cropped shearling jacket with a knit sweater dress and platform boots. Messy textured lob with shearling-trimmed bucket hat
182,Winter,Silk blouse in midnight blue with a wool pencil skirt and pointed-toe boots. Low elegant twist with a sapphire-blue hair comb
183,Winter,Oversized tartan shirt jacket with a black crop top and high-waisted mom jeans. Loose natural waves under a tartan newsboy cap
184,Winter,Chunky ribbed turtleneck in mustard with a pleated leather skirt and ankle boots. Sleek low ponytail tied with a mustard silk ribbon
185,Winter,Fitted velvet jumpsuit in dark teal with a cropped faux fur bolero. Glamorous swept-to-one-side waves with a teal crystal barrette
186,Winter,Oversized boyfriend coat in heather gray with a fitted knit dress and thigh-high boots. Voluminous blowout waves with heather gray beret
187,Winter,Knit poncho in earthy tones with leggings and suede ankle boots. Loose messy braid draped over one shoulder with a wooden bead accent
188,Winter,Satin-trimmed tuxedo jacket with a lace bodysuit and tailored pants. Slicked-back tight bun with diamond stud earrings as accent
189,Winter,Cozy fleece pullover in dusty pink with corduroy wide-leg pants and fluffy slippers. Cute space buns with fluffy pink hair ties
190,Winter,Leather corset belt over a chunky oversized cream sweater with a midi skirt. Long straight hair with a center part and subtle face-framing highlights
191,Winter,Embroidered wool jacket in deep red with a silk camisole and black trousers. Low twisted side bun with a deep red silk scarf wrap
192,Winter,High-neck fitted sweater in charcoal paired with a sequined midi skirt for a holiday party. Glamorous loose curls with crystal snowflake hair pins scattered throughout
193,Winter,Patchwork denim jacket lined with fleece over a turtleneck and cargo pants. Relaxed messy ponytail with a denim-wrapped hair tie
194,Winter,Belted long puffer coat in chocolate brown with a cream cable-knit scarf and mittens. Soft waves tucked into a chocolate brown knit snood
195,Winter,Cropped argyle sweater vest over a white shirt with a pleated skirt and loafers. Neat preppy half-up with an argyle-patterned hair bow
196,Winter,Off-shoulder chunky knit sweater in soft white with faux leather leggings and stiletto boots. Tousled glamorous waves cascading freely with a crystal hair vine
197,Winter,Fur-trimmed hooded cape in midnight blue with fitted black pants and ankle boots. Long straight sleek hair with midnight blue highlights peeking through
198,Winter,Oversized striped knit scarf used as a wrap top with high-waisted wool pants. Elegant French twist with striped ribbon detail
199,Winter,Velvet cropped blazer in wine red with a lace top and pleated pants. Polished side-parted straight hair with wine red velvet barrette
200,Winter,Luxe cashmere oversized sweater in soft gray with a tulle midi skirt and crystal-embellished heels. Romantic loose updo with soft curls and delicate crystal pins
201,Tight,High-waisted dark wash skinny jeans with a cropped fitted turtleneck and stiletto ankle boots. Sleek straight long hair with a center part
202,Tight,Black matte leggings with an oversized off-shoulder crop sweatshirt and chunky sneakers. High messy ponytail with face-framing wisps
203,Tight,Glossy black faux leather leggings with a fitted white bodysuit and pointed-toe heels. Slicked-back low bun with gold hoop earrings
204,Tight,Light wash stretch skinny jeans with ripped knees and a form-fitting ribbed tank top. Loose beachy waves with curtain bangs
205,Tight,High-waisted indigo skinny jeans with a tucked-in satin cami and a cropped leather jacket. Tousled layered lob with a deep side part
206,Tight,Seamless yoga leggings in charcoal with a matching sports bra and a sheer mesh cover-up. Tight high bun with a sporty headband
207,Tight,Body-hugging long-sleeve midi dress in black ribbed knit with a thin chain belt. Sleek straight hair parted to one side with diamond stud earrings
208,Tight,Super-stretch skinny jeans in jet black with a fitted crop blazer worn over a lace bralette. Voluminous blowout curls with dramatic volume
209,Tight,High-shine vinyl leggings with an oversized band tee tied at the waist and combat boots. Edgy tousled waves with side-swept bangs
210,Tight,Form-fitting catsuit in deep navy with a wide belt and knee-high boots. Sleek center-parted ponytail pulled tight and long
211,Tight,Destroyed light-wash skinny jeans with a fitted off-shoulder bodysuit in white. Soft romantic curls with a flower hair clip
212,Tight,Compression leggings in burgundy with a cropped puffer vest and fitted long-sleeve base layer. Boxer braids with burgundy ribbon accents
213,Tight,Pencil-cut stretch denim skirt with a fitted turtleneck bodysuit and thigh-high suede boots. Low chignon with a velvet ribbon wrap
214,Tight,Ultra-skinny coated jeans in dark plum with a metallic bodysuit and pointed ankle boots. Pin-straight hair with a chrome hair cuff at one side
215,Tight,Seamless sculpting leggings in olive green with a fitted racerback tank and a tied plaid flannel. Casual low ponytail with a scrunchie
216,Tight,Second-skin stretch skinny jeans in classic blue with a fitted cropped denim jacket and white sneakers. Natural straight hair with a denim headband
217,Tight,High-waisted fleece-lined leggings in black with an oversized chunky knit sweater and ankle boots. Messy top knot with wispy bangs
218,Tight,Stretch velvet leggings in emerald green with a fitted sequin tank and strappy heels. Glamorous loose waves with an emerald jeweled clip
219,Tight,Ankle-length skinny jeans in medium wash with a ribbed fitted henley and loafers. Effortless air-dried waves with a tortoiseshell claw clip
220,Tight,Sheer mesh panel leggings in black with a cropped hoodie and platform sneakers. Double space buns with baby hairs styled
221,Tight,High-rise push-up skinny jeans in dark gray with a fitted mock-neck bodysuit and a chain-link belt. Sleek half-up half-down with a minimalist gold barrette
222,Tight,Matte black leggings with a form-fitting cropped leather jacket and a lace-trim camisole underneath. Tousled waves with a black leather hair tie
223,Tight,Stretch skinny cargo pants in khaki with a tight ribbed crop top and chunky gold chain necklace. Messy low bun with face-framing layers
224,Tight,Wet-look liquid leggings with a fitted oversized blazer and nothing underneath and clear heeled mules. Slicked-back wet-look straight hair with gel finish
225,Tight,Super-skinny white jeans with a fitted striped Breton top and red ballet flats. Classic French bob with a red beret
226,Tight,Color-blocked athletic leggings with a matching fitted long-sleeve crop top and running shoes. High swinging ponytail with a matching color-blocked headband
227,Tight,Stretch leather skinny pants in deep brown with a fitted cashmere V-neck and knee-high riding boots. Soft loose waves with a thin suede headband
228,Tight,Thermal-knit fitted leggings in heather gray with a cropped fleece pullover and fuzzy slides. Cozy messy braid draped over one shoulder
229,Tight,Distressed skinny jeans in vintage blue with a tight graphic baby tee and platform sneakers. Layered wolf cut with choppy bangs
230,Tight,High-waisted compression leggings in midnight black with a fitted mesh-panel sports bra and an unzipped track jacket. Sleek French braid into a low ponytail
